ACCESSION_NUMBER	ID	ISSUEJURISDICTIONSECUROFFERING
0001781955-23-000008	60	A7
0001781955-23-000008	59	A6
0001781955-23-000008	62	A9
0001781955-23-000008	63	B0
0001781955-23-000008	64	Z4
0001781955-23-000008	1	AL
0001781955-23-000008	2	AK
0001781955-23-000008	3	AZ
0001781955-23-000008	4	AR
0001781955-23-000008	5	CA
0001781955-23-000008	6	CO
0001781955-23-000008	7	CT
0001781955-23-000008	8	DE
0001781955-23-000008	9	DC
0001781955-23-000008	10	FL
0001781955-23-000008	11	GA
0001781955-23-000008	12	HI
0001781955-23-000008	13	ID
0001781955-23-000008	14	IL
0001781955-23-000008	15	IN
0001781955-23-000008	16	IA
0001781955-23-000008	17	KS
0001781955-23-000008	18	KY
0001781955-23-000008	19	LA
0001781955-23-000008	20	ME
0001781955-23-000008	21	MD
0001781955-23-000008	22	MA
0001781955-23-000008	23	MI
0001781955-23-000008	24	MN
0001781955-23-000008	25	MS
0001781955-23-000008	26	MO
0001781955-23-000008	27	MT
0001781955-23-000008	28	NE
0001781955-23-000008	29	NV
0001781955-23-000008	30	NH
0001781955-23-000008	31	NJ
0001781955-23-000008	32	NM
0001781955-23-000008	33	NY
0001781955-23-000008	34	NC
0001781955-23-000008	35	ND
0001781955-23-000008	36	OH
0001781955-23-000008	37	OK
0001781955-23-000008	38	OR
0001781955-23-000008	39	PA
0001781955-23-000008	40	PR
0001781955-23-000008	41	RI
0001781955-23-000008	42	SC
0001781955-23-000008	43	SD
0001781955-23-000008	44	TN
0001781955-23-000008	45	TX
0001781955-23-000008	46	UT
0001781955-23-000008	47	VT
0001781955-23-000008	48	VA
0001781955-23-000008	49	WA
0001781955-23-000008	50	WV
0001781955-23-000008	51	WI
0001781955-23-000008	52	WY
0001781955-23-000008	53	A0
0001781955-23-000008	54	A1
0001781955-23-000008	55	A2
0001781955-23-000008	56	A3
0001781955-23-000008	57	A4
0001781955-23-000008	58	A5
0001781955-23-000008	61	A8
0001669191-23-000655	14	IL
0001669191-23-000655	15	IN
0001669191-23-000655	16	IA
0001669191-23-000655	17	KS
0001669191-23-000655	18	KY
0001669191-23-000655	19	LA
0001669191-23-000655	20	ME
0001669191-23-000655	21	MD
0001669191-23-000655	22	MA
0001669191-23-000655	23	MI
0001669191-23-000655	24	MN
0001669191-23-000655	25	MS
0001669191-23-000655	26	MO
0001669191-23-000655	27	MT
0001669191-23-000655	28	NE
0001669191-23-000655	29	NV
0001669191-23-000655	30	NH
0001669191-23-000655	31	NJ
0001669191-23-000655	32	NM
0001669191-23-000655	33	NY
0001669191-23-000655	34	NC
0001669191-23-000655	35	ND
0001669191-23-000655	36	OH
0001669191-23-000655	37	OK
0001669191-23-000655	38	OR
0001669191-23-000655	39	PA
0001669191-23-000655	40	RI
0001669191-23-000655	41	SC
0001669191-23-000655	42	SD
0001669191-23-000655	43	TN
0001669191-23-000655	44	TX
0001669191-23-000655	45	UT
0001669191-23-000655	46	VT
0001669191-23-000655	47	VA
0001669191-23-000655	48	WA
0001669191-23-000655	49	WV
0001669191-23-000655	50	WI
0001669191-23-000655	51	WY
0001669191-23-000655	52	B5
0001669191-23-000655	53	GU
0001669191-23-000655	54	1V
0001669191-23-000655	55	PR
0001669191-23-000655	56	VI
0001669191-23-000655	4	AR
0001669191-23-000655	5	CA
0001669191-23-000655	6	CO
0001669191-23-000655	7	CT
0001669191-23-000655	10	FL
0001669191-23-000655	11	GA
