ACCESSION_NUMBER	ID	ISSUEJURISDICTIONSECUROFFERING
0001670254-21-000402	1	AL
0001670254-21-000402	56	1V
0001670254-21-000402	3	AZ
0001670254-21-000402	4	AR
0001670254-21-000402	5	CA
0001670254-21-000402	6	CO
0001670254-21-000402	7	CT
0001670254-21-000402	8	DE
0001670254-21-000402	9	DC
0001670254-21-000402	10	FL
0001670254-21-000402	11	GA
0001670254-21-000402	12	HI
0001670254-21-000402	13	ID
0001670254-21-000402	14	IL
0001670254-21-000402	15	IN
0001670254-21-000402	16	IA
0001670254-21-000402	17	KS
0001670254-21-000402	18	KY
0001670254-21-000402	19	LA
0001670254-21-000402	20	ME
0001670254-21-000402	21	MD
0001670254-21-000402	22	MA
0001670254-21-000402	23	MI
0001670254-21-000402	24	MN
0001670254-21-000402	25	MS
0001670254-21-000402	26	MO
0001670254-21-000402	27	MT
0001670254-21-000402	28	NE
0001670254-21-000402	29	NV
0001670254-21-000402	30	NH
0001670254-21-000402	31	NJ
0001670254-21-000402	32	NM
0001670254-21-000402	33	NY
0001670254-21-000402	34	NC
0001670254-21-000402	35	ND
0001670254-21-000402	36	OH
0001670254-21-000402	37	OK
0001670254-21-000402	38	OR
0001670254-21-000402	39	PA
0001670254-21-000402	40	RI
0001670254-21-000402	41	SC
0001670254-21-000402	42	SD
0001670254-21-000402	43	TN
0001670254-21-000402	44	TX
0001670254-21-000402	45	UT
0001670254-21-000402	46	VT
0001670254-21-000402	47	VA
0001670254-21-000402	48	WA
0001670254-21-000402	49	WV
0001670254-21-000402	50	WI
0001670254-21-000402	51	WY
0001670254-21-000402	52	B5
0001670254-21-000402	53	GU
0001670254-21-000402	54	PR
0001670254-21-000402	55	VI
0001670254-21-000402	2	AK
0001665160-21-000400	16	IA
0001665160-21-000400	15	IN
0001665160-21-000400	18	KY
0001665160-21-000400	19	LA
0001665160-21-000400	20	ME
0001665160-21-000400	21	MD
0001665160-21-000400	22	MA
0001665160-21-000400	23	MI
0001665160-21-000400	24	MN
0001665160-21-000400	25	MS
0001665160-21-000400	26	MO
0001665160-21-000400	27	MT
0001665160-21-000400	28	NE
0001665160-21-000400	29	NV
0001665160-21-000400	30	NH
0001665160-21-000400	31	NJ
0001665160-21-000400	32	NM
0001665160-21-000400	33	NY
0001665160-21-000400	34	NC
0001665160-21-000400	35	ND
0001665160-21-000400	36	OH
0001665160-21-000400	37	OK
0001665160-21-000400	38	OR
0001665160-21-000400	39	PA
0001665160-21-000400	40	PR
0001665160-21-000400	41	RI
0001665160-21-000400	42	SC
0001665160-21-000400	43	SD
0001665160-21-000400	44	TN
0001665160-21-000400	45	TX
0001665160-21-000400	46	UT
0001665160-21-000400	47	VT
0001665160-21-000400	48	VA
0001665160-21-000400	49	WA
0001665160-21-000400	50	WV
0001665160-21-000400	51	WI
0001665160-21-000400	52	WY
0001665160-21-000400	1	AL
0001665160-21-000400	2	AK
0001665160-21-000400	3	AZ
0001665160-21-000400	4	AR
0001665160-21-000400	5	CA
0001665160-21-000400	6	CO
0001665160-21-000400	7	CT
0001665160-21-000400	8	DC
0001665160-21-000400	9	DE
0001665160-21-000400	10	FL
0001665160-21-000400	11	GA
0001665160-21-000400	12	HI
0001665160-21-000400	13	ID
0001665160-21-000400	14	IL
0001665160-21-000400	17	KS
0001665160-21-000399	18	KY
0001665160-21-000399	19	LA
0001665160-21-000399	20	ME
0001665160-21-000399	21	MD
0001665160-21-000399	22	MA
0001665160-21-000399	23	MI
0001665160-21-000399	24	MN
0001665160-21-000399	25	MS
