ACCESSION_NUMBER	ID	ISSUEJURISDICTIONSECUROFFERING
0001665160-21-001768	1	AL
0001665160-21-001768	24	MN
0001665160-21-001768	3	AZ
0001665160-21-001768	25	MS
0001665160-21-001768	26	MO
0001665160-21-001768	27	MT
0001665160-21-001768	28	NE
0001665160-21-001768	29	NV
0001665160-21-001768	30	NH
0001665160-21-001768	31	NJ
0001665160-21-001768	32	NM
0001665160-21-001768	33	NY
0001665160-21-001768	34	NC
0001665160-21-001768	35	ND
0001665160-21-001768	36	OH
0001665160-21-001768	37	OK
0001665160-21-001768	38	OR
0001665160-21-001768	39	PA
0001665160-21-001768	40	PR
0001665160-21-001768	41	RI
0001665160-21-001768	42	SC
0001665160-21-001768	43	SD
0001665160-21-001768	44	TN
0001665160-21-001768	45	TX
0001665160-21-001768	46	UT
0001665160-21-001768	47	VT
0001665160-21-001768	48	VA
0001665160-21-001768	49	WA
0001665160-21-001768	50	WV
0001665160-21-001768	51	WI
0001665160-21-001768	52	WY
0001665160-21-001768	4	AR
0001665160-21-001768	5	CA
0001665160-21-001768	6	CO
0001665160-21-001768	7	CT
0001665160-21-001768	8	DC
0001665160-21-001768	9	DE
0001665160-21-001768	10	FL
0001665160-21-001768	11	GA
0001665160-21-001768	12	HI
0001665160-21-001768	13	ID
0001665160-21-001768	14	IL
0001665160-21-001768	15	IN
0001665160-21-001768	16	IA
0001665160-21-001768	17	KS
0001665160-21-001768	18	KY
0001665160-21-001768	19	LA
0001665160-21-001768	20	ME
0001665160-21-001768	21	MD
0001665160-21-001768	22	MA
0001665160-21-001768	23	MI
0001665160-21-001768	2	AK
0001823177-21-000007	23	MA
0001823177-21-000007	22	MD
0001823177-21-000007	25	MN
0001823177-21-000007	26	MS
0001823177-21-000007	27	MO
0001823177-21-000007	28	MT
0001823177-21-000007	29	NE
0001823177-21-000007	30	NV
0001823177-21-000007	31	NH
0001823177-21-000007	32	NJ
0001823177-21-000007	33	NM
0001823177-21-000007	34	NY
0001823177-21-000007	35	NC
0001823177-21-000007	36	ND
0001823177-21-000007	37	OH
0001823177-21-000007	38	OK
0001823177-21-000007	39	OR
0001823177-21-000007	40	PA
0001823177-21-000007	41	PR
0001823177-21-000007	42	RI
0001823177-21-000007	43	SC
0001823177-21-000007	44	SD
0001823177-21-000007	45	TN
0001823177-21-000007	46	TX
0001823177-21-000007	47	UT
0001823177-21-000007	48	VT
0001823177-21-000007	49	VI
0001823177-21-000007	50	VA
0001823177-21-000007	51	WA
0001823177-21-000007	52	WV
0001823177-21-000007	53	WI
0001823177-21-000007	54	WY
0001823177-21-000007	55	B5
0001823177-21-000007	56	1V
0001823177-21-000007	1	AL
0001823177-21-000007	2	AK
0001823177-21-000007	3	AZ
0001823177-21-000007	4	AR
0001823177-21-000007	5	CA
0001823177-21-000007	6	CO
0001823177-21-000007	7	CT
0001823177-21-000007	8	DE
0001823177-21-000007	9	DC
0001823177-21-000007	10	FL
0001823177-21-000007	11	GA
0001823177-21-000007	12	GU
0001823177-21-000007	13	HI
0001823177-21-000007	14	ID
0001823177-21-000007	15	IL
0001823177-21-000007	16	IN
0001823177-21-000007	17	IA
0001823177-21-000007	18	KS
0001823177-21-000007	19	KY
0001823177-21-000007	20	LA
0001823177-21-000007	21	ME
0001823177-21-000007	24	MI
0001665160-21-001766	31	NJ
0001665160-21-001766	32	NM
0001665160-21-001766	33	NY
0001665160-21-001766	34	NC
0001665160-21-001766	35	ND
0001665160-21-001766	36	OH
0001665160-21-001766	37	OK
0001665160-21-001766	38	OR
0001665160-21-001766	39	PA
0001665160-21-001766	40	PR
0001665160-21-001766	41	RI
0001665160-21-001766	42	SC
0001665160-21-001766	43	SD
0001665160-21-001766	44	TN
0001665160-21-001766	45	TX
0001665160-21-001766	46	UT
0001665160-21-001766	47	VT
0001665160-21-001766	5	CA
0001665160-21-001766	6	CO
0001665160-21-001766	7	CT
0001665160-21-001766	8	DC
0001665160-21-001766	9	DE
0001665160-21-001766	10	FL
0001665160-21-001766	11	GA
0001665160-21-001766	12	HI
0001665160-21-001766	13	ID
0001665160-21-001766	14	IL
0001665160-21-001766	15	IN
0001665160-21-001766	16	IA
0001665160-21-001766	17	KS
0001665160-21-001766	18	KY
0001665160-21-001766	19	LA
0001665160-21-001766	20	ME
0001665160-21-001766	21	MD
0001665160-21-001766	22	MA
0001665160-21-001766	23	MI
0001665160-21-001766	24	MN
0001665160-21-001766	25	MS
0001665160-21-001766	26	MO
0001665160-21-001766	27	MT
0001665160-21-001766	28	NE
0001665160-21-001766	29	NV
0001665160-21-001766	30	NH
0001665160-21-001766	1	AL
0001665160-21-001766	2	AK
0001665160-21-001766	3	AZ
0001665160-21-001766	4	AR
0001665160-21-001766	48	VA
0001665160-21-001766	49	WA
0001665160-21-001766	50	WV
0001665160-21-001766	51	WI
0001665160-21-001766	52	WY
0001746059-21-000483	4	AR
0001746059-21-000483	36	OH
0001746059-21-000483	6	CO
0001746059-21-000483	7	CT
0001746059-21-000483	8	DE
0001746059-21-000483	9	DC
0001746059-21-000483	10	FL
0001746059-21-000483	11	GA
0001746059-21-000483	12	HI
0001746059-21-000483	13	ID
0001746059-21-000483	14	IL
0001746059-21-000483	15	IN
0001746059-21-000483	37	OK
0001746059-21-000483	38	OR
0001746059-21-000483	39	PA
0001746059-21-000483	40	PR
0001746059-21-000483	41	RI
0001746059-21-000483	42	SC
0001746059-21-000483	43	SD
0001746059-21-000483	44	TN
0001746059-21-000483	45	TX
0001746059-21-000483	46	UT
0001746059-21-000483	47	VT
0001746059-21-000483	48	VA
0001746059-21-000483	49	WA
0001746059-21-000483	50	WV
0001746059-21-000483	51	WI
0001746059-21-000483	52	WY
0001746059-21-000483	1	AL
0001746059-21-000483	2	AK
0001746059-21-000483	3	AZ
0001746059-21-000483	16	IA
0001746059-21-000483	17	KS
0001746059-21-000483	18	KY
0001746059-21-000483	19	LA
0001746059-21-000483	20	ME
0001746059-21-000483	21	MD
0001746059-21-000483	22	MA
0001746059-21-000483	23	MI
0001746059-21-000483	24	MN
0001746059-21-000483	25	MS
0001746059-21-000483	26	MO
0001746059-21-000483	27	MT
0001746059-21-000483	28	NE
0001746059-21-000483	29	NV
0001746059-21-000483	30	NH
0001746059-21-000483	31	NJ
0001746059-21-000483	32	NM
0001746059-21-000483	33	NY
0001746059-21-000483	34	NC
0001746059-21-000483	35	ND
0001746059-21-000483	5	CA
0001670254-21-001101	43	TN
0001670254-21-001101	16	IA
0001670254-21-001101	45	UT
0001670254-21-001101	46	VT
0001670254-21-001101	47	VA
0001670254-21-001101	48	WA
0001670254-21-001101	49	WV
0001670254-21-001101	50	WI
0001670254-21-001101	51	WY
0001670254-21-001101	52	B5
0001670254-21-001101	53	GU
0001670254-21-001101	54	PR
0001670254-21-001101	55	VI
0001670254-21-001101	56	1V
0001670254-21-001101	17	KS
0001670254-21-001101	18	KY
0001670254-21-001101	19	LA
0001670254-21-001101	20	ME
0001670254-21-001101	21	MD
0001670254-21-001101	22	MA
0001670254-21-001101	23	MI
0001670254-21-001101	24	MN
0001670254-21-001101	25	MS
0001670254-21-001101	26	MO
0001670254-21-001101	27	MT
0001670254-21-001101	28	NE
0001670254-21-001101	29	NV
0001670254-21-001101	30	NH
0001670254-21-001101	31	NJ
0001670254-21-001101	32	NM
0001670254-21-001101	33	NY
0001670254-21-001101	34	NC
0001670254-21-001101	35	ND
0001670254-21-001101	36	OH
0001670254-21-001101	37	OK
0001670254-21-001101	38	OR
0001670254-21-001101	39	PA
0001670254-21-001101	40	RI
0001670254-21-001101	41	SC
0001670254-21-001101	42	SD
0001670254-21-001101	1	AL
0001670254-21-001101	2	AK
0001670254-21-001101	3	AZ
0001670254-21-001101	4	AR
0001670254-21-001101	5	CA
0001670254-21-001101	6	CO
0001670254-21-001101	7	CT
0001670254-21-001101	8	DE
0001670254-21-001101	9	DC
0001670254-21-001101	10	FL
0001670254-21-001101	11	GA
0001670254-21-001101	12	HI
0001670254-21-001101	13	ID
0001670254-21-001101	14	IL
0001670254-21-001101	15	IN
0001670254-21-001101	44	TX
0001665160-21-001764	32	NM
0001665160-21-001764	39	PA
0001665160-21-001764	41	RI
0001665160-21-001764	42	SC
0001665160-21-001764	43	SD
0001665160-21-001764	44	TN
0001665160-21-001764	45	TX
0001665160-21-001764	46	UT
0001665160-21-001764	47	VT
0001665160-21-001764	48	VA
0001665160-21-001764	49	WA
0001665160-21-001764	50	WV
0001665160-21-001764	51	WI
0001665160-21-001764	52	WY
0001665160-21-001764	1	AL
0001665160-21-001764	2	AK
0001665160-21-001764	3	AZ
0001665160-21-001764	4	AR
0001665160-21-001764	5	CA
