ACCESSION_NUMBER	ID	ISEDGARFILER	COISSUERCIK	NAMEOFCOISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	COISSUERWEBSITE
0001780439-21-000022	1			Rockval Crowd Value-Add Fund I, Inc,	Corporation		DE	10-JUN-2021	31 Datura St.	Suite 200	West Palm Beach	FL	33401	
0001893044-21-000002	1			Undesert Corporation Investments SPV LLC	Limited Liability Company		DE	02-DEC-2021	108 Lakeland Avenue		Dover	DE	19901	
0001893044-21-000001	1			Undesert Corporation Investments SPV LLC	Limited Liability Company		DE	02-DEC-2021	108 Lakeland Avenue		Dover	DE	19901	
0001670254-21-001424	2			Shine Registry I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	23-DEC-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001424	1			Shine Registry I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	23-DEC-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001780439-21-000020	1			Rockval Crowd Value-Add Fund I, Inc.	Corporation		DE	10-JUN-2021	31 Datura St.	Suite 200	West Palm Beach	FL	33401	
0001670254-21-001422	1			Hld film inc I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-DEC-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001419	1			Next Thing Technologies I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-DEC-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001419	2			Next Thing Technologies I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-DEC-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001417	1			Aro Lucha Animation & Entertainment I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-DEC-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001417	2			Aro Lucha Animation & Entertainment I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-DEC-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001408	1			The WMarketplace, Inc. I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-DEC-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
