ACCESSION_NUMBER	ID	ISEDGARFILER	COISSUERCIK	NAMEOFCOISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	COISSUERWEBSITE
0001644600-23-000054	1			Sweater Inc Community SPV1 LLC	Limited Liability Company		DE	22-DEC-2022	520 Mount Rainier St.		Berthoud	CO	80513	
0001670254-23-000271	2			Bula Technologies I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	29-JUL-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000271	1			Bula Technologies I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	29-JUL-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001096906-23-000678	1			Ourobio CF SPV 2022, LLC	Limited Liability Company		VA	07-SEP-2022	12100 Serenity Pl		Nokesville	VA	20181-3645	
0001670254-23-000267	1			Sekr I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	29-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000267	2			Sekr I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	29-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000269	1			Pacha I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	29-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000269	2			Pacha I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	29-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000264	1			Grai  I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	29-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000263	1			Bow Wow Labs I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	10-JAN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000263	2			Bow Wow Labs I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	10-JAN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001644600-23-000049	1			AdoraPet Biosciences CF SPV LLC	Limited Liability Company		DE	10-NOV-2022	55 E 3rd Ave.		San Mateo	CA	94401	
0001670254-23-000258	2			GravyStack I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	23-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000260	1			Momentor I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-FEB-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000258	1			GravyStack I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	23-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000260	2			Momentor I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-FEB-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000256	1			Cardinal Spirits I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	24-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000256	2			Cardinal Spirits I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	24-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000254	1			Sanara I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	20-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001644600-23-000044	1			Virtuix Series B CF SPV, LLC	Limited Liability Company		DE	03-MAR-2023	1826 Kramer Lane STE H		Austin	TX	78758	https://www.virtuix.com/
0001670254-23-000249	1			Qnetic I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	23-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000250	1			Recompose I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	17-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000248	2			Prolific Brewing Company I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	29-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000248	1			Prolific Brewing Company I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	29-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000247	2			Zero Cheating II EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	10-JAN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000247	1			Zero Cheating II, a series of Wefunder SPV, LLC	Limited Liability Company		DE	10-JAN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000249	2			Qnetic I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	23-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000243	1			Boss Tech I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	16-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000245	1			Bloomi I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	16-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000243	2			Boss Tech I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	16-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000238	1			Alma Financial I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	15-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000236	1			Avawatz I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	14-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000236	2			Avawatz I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	14-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000234	1			Pangea Brands I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	14-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000233	1			Zero Cheating II, a series of Wefunder SPV, LLC	Limited Liability Company		DE	10-JAN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000233	2			Zero Cheating II EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	10-JAN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000231	2			Musiversal I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	13-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000231	1			Musiversal I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	13-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000229	1			MyStreme I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	13-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000226	1			Antelope Recovery I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000226	2			Antelope Recovery I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000225	1			VitalFlo I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	31-OCT-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000224	1			Doofus Corporation I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	27-MAY-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001062993-23-006451	1			Aura Health CF Investors SPV, LLC	Limited Liability Company		DE	23-JAN-2023	720 DOLORES ST		SAN FRANCISO	CA	94110	
0001670254-23-000221	1			Hotelier Co II, a series of Wefunder SPV, LLC	Limited Liability Company		DE	08-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000221	2			Hotelier Co II EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	08-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000217	1			PVP I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	08-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000217	2			PVP I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	08-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000215	1			Boostly  I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	07-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001938502-23-000003	1			GATR CF Investors SPV, LLC	Limited Liability Company		DE	02-NOV-2022	1635 St. Patrick St		Thibodaux	LA	70301	
0001670254-23-000210	1			Camp Gladiator I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	06-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000210	2			Camp Gladiator I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	06-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000208	1			Doorvest II, a series of Wefunder SPV, LLC	Limited Liability Company		DE	06-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000205	1			Ron Artesano I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-FEB-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000203	2			Landng I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	03-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000203	1			Landng I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	03-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000199	1			Teeccino I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000199	2			Teeccino I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000200	2			Sirocco Energy II EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	02-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001542172-23-000006	1	EdgarFiler	0001812836	Wind Harvest Pilot Project Inc	Corporation		DE	07-APR-2020	712 5TH ST		DAVIS	CA	95616	https://windharvest.com/
0001670254-23-000200	1			Sirocco Energy II, a series of Wefunder SPV, LLC	Limited Liability Company		DE	02-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000184	1			MBZ Parts I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	28-FEB-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000184	2			MBZ Parts I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	28-FEB-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000189	1			Contractor Plus II, a series of Wefunder SPV, LLC	Limited Liability Company		DE	28-FEB-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000189	2			Contractor Plus II EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	28-FEB-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000182	1			Swell I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	27-FEB-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000175	1			Midnight Harvest I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	24-FEB-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000179	1			Momentor I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-FEB-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000179	2			Momentor I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-FEB-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000180	1			Iron Lilly I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	24-FEB-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
