ACCESSION_NUMBER	ID	ISEDGARFILER	COISSUERCIK	NAMEOFCOISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	COISSUERWEBSITE
0001670254-22-001013	2			Homeshake I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	30-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001013	1			Homeshake I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	30-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001011	1			Atakama I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	29-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001644600-22-000123	1			Beast Brands CF Investors SPV, LLC	Limited Liability Company		DE	02-SEP-2022	305 Vienna St.		Ruston	LA	71720	
0001670254-22-001008	1			Trade Street Jam I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	29-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001008	2			Trade Street Jam I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	29-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001006	1			MTailor I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	29-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001006	2			MTailor I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	29-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001002	2			Blender Bombs I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	27-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001002	1			Blender Bombs I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	27-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001000	2			Panhwar Jet I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	20-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001000	1			Panhwar Jet I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	20-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000997	1			Airthium  II, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-JUL-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000997	2			Airthium  II EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-JUL-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000998	1			BYGMusic I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	26-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000998	2			BYGMusic I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	26-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000995	1			Slicespace I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	23-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000994	2			EX Venture II EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000994	1			EX Venture II, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000995	2			Slicespace I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	23-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000991	1			Homepro toolbox I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	23-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000991	2			Homepro toolbox I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	23-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000989	1			Hevo II, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000988	2			BlissDivorce I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	01-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000988	1			BlissDivorce I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	01-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000986	1			Happy Hippie Brewing Company I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000980	1			Fathom I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000977	1			Payroll4free.com inc. III, a series of Wefunder SPV, LLC	Limited Liability Company		DE	20-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000977	2			Payroll4free.com inc. III EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	20-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000978	1			YouFlourish I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	20-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000972	1			Apsy.io I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	20-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000972	2			Apsy.io I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	20-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000971	1			Joulez I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	17-JUN-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000974	2			Athlete Plus I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	16-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000974	1			Athlete Plus I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	16-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001683168-22-006497	1			Heroic CF SPV, LLC	Limited Liability Company		DE	21-APR-2022	9901 Brodie Lane	Suite 160 #1388	Austin	TX	78748	www.heroic.us
0001670254-22-000969	2			Pureboost I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	05-AUG-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000969	1			Pureboost I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	05-AUG-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000970	1			Phone2 I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	26-AUG-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000970	2			Phone2 I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	26-AUG-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000965	1			Queer Spaces I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	03-AUG-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000964	2			SelfDecode II EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	14-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000964	1			SelfDecode II, a series of Wefunder SPV, LLC	Limited Liability Company		DE	14-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000959	2			Vulcan Augmetics I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	13-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000959	1			Vulcan Augmetics I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	13-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000956	1			Zeek II, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000956	2			Zeek II EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000957	1			The Meet Cute Murders I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	13-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000955	1			CoCo Noir I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	13-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001096906-22-002230	1	EdgarFiler	0001940978	Vernafund20 LLC	Limited Liability Company		TX	23-NOV-2020	3767 ROCKDALE DR		DALLAS	TX	75220	https://theapartmentqueen.com
0001670254-22-000946	1			The Agenda Period I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	13-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000944	1			Strofe I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	13-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000944	2			Strofe I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	13-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000942	1			Love Lifesciences I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-AUG-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000941	2			Cusa I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	31-AUG-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000941	1			Cusa I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	31-AUG-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000939	1			Braidbabes I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000935	1			Content Launch II, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000937	1			Zeek II, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000937	2			Zeek II EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000935	2			Content Launch II EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000933	1			Investii I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	25-AUG-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000930	2			Megafono Corporation I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000930	1			Megafono Corporation I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000928	2			Seedsheet I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000928	1			Seedsheet I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000925	1			Soko App I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	07-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000923	1			UKey I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	07-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000923	2			UKey I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	07-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000921	2			Radiolife I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	07-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000921	1			Radiolife I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	07-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000914	2			QuantConnect I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	06-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000914	1			QuantConnect I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	06-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000913	1			BlissDivorce I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	01-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000913	2			BlissDivorce I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	01-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000909	2			Bold Move Beverages I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	31-AUG-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000903	2			Holodia Inc I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	31-AUG-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000905	1			HEAVYS I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	31-AUG-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000905	2			HEAVYS I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	31-AUG-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000909	1			Bold Move Beverages I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	31-AUG-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000907	2			Boundless Robotics, Inc. I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	31-AUG-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000907	1			Boundless Robotics, Inc. I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	31-AUG-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000903	1			Holodia Inc I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	31-AUG-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000901	2			Crossnet I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	31-AUG-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000901	1			Crossnet I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	31-AUG-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
