ACCESSION_NUMBER	ID	ISEDGARFILER	COISSUERCIK	NAMEOFCOISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	COISSUERWEBSITE
0001670254-23-000688	1			ClearingBid I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	15-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000681	1			Qnetic I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	23-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000681	2			Qnetic I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	23-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000677	2			ZTRUCKING I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	27-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000679	1			Whatz2eat II, a series of Wefunder SPV, LLC	Limited Liability Company		DE	28-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000677	1			ZTRUCKING I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	27-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000671	1			Meta-Brain Labs I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	14-FEB-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000671	2			Meta-Brain Labs I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	14-FEB-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000665	1			Foonka II, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000667	1			Bluon I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000663	1			Dockshare I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001829335-23-000002	1			Mod Tech Labs I	Limited Liability Company		DE	22-JAN-2020	1 Seneca St FL24		Buffalo	NY	14203	www.modtechlabs.com
0001821982-23-000011	1			Trade Street Social SPV, LLC	Limited Liability Company		SC	28-APR-2023	315 Trade Street		GREER	SC	29651	
0001670254-23-000658	1			FirmTech I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000655	1			Active Defender I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000655	2			Active Defender I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001821982-23-000010	1			AHD Investors, LLC	Limited Liability Company		NC	29-JUN-2020	197 N. Second St		Albemarle	NC	28001	
0001670254-23-000653	1			Seed at the table I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	20-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001821982-23-000008	1			Bricolage Dynamics RegCF SPV 2021, LLC	Limited Liability Company		CT	14-OCT-2021	120 Rockbridge Ct		Liberty	SC	29657	
0001670254-23-000651	1			Libros 787 I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	14-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000649	1			Weltio  I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	20-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001803421-23-000002	1			Sativa Building Systems	Limited Liability Company		DE	29-JUL-2021	4104 24th Street	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000645	1			Papumba I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	15-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000643	1			ClearingBid I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	15-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001644600-23-000113	1			Ampere Technologies CF SPV, LLC	Limited Liability Company		DE	21-MAR-2023	8 THE GREEN SUITE A		Dover	DE	19901	
0001670254-23-000641	1			Jurny I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	12-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000641	2			Jurny I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	12-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000640	1			XpressRun I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000638	1			XpressRun I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001934516-23-000004	1			stephanie laflora	Corporation		DE	21-MAR-2022	8 The Green	STE 300	Dover	DE	19901	www.crownhunt.io
0001670254-23-000630	1			Vampire Corporation I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	06-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000630	2			Vampire Corporation I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	06-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000628	2			The Influence Board I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	06-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000628	1			The Influence Board I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	06-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000626	2			Here I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	07-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000626	1			Here I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	07-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000624	2			Viit Health II EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	06-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000624	1			Viit Health II, a series of Wefunder SPV, LLC	Limited Liability Company		DE	06-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000620	1			Sanara I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	20-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000618	1			Help Texts I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	06-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000621	1			Antelope Recovery I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000621	2			Antelope Recovery I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-MAR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000616	1			Spinn I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	06-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001821982-23-000006	1			North Cove Crowdfunding SPV, LLC	Limited Liability Company		NC	07-APR-2022	210 Blue Ridge Dr. N.		Marion	NC	28752	
0001979200-23-000002	1			ParaVita, LLC	Limited Liability Company		MO	12-FEB-2021	524 Rooster Ridge Court		Defiance	MO	63341	
0001670254-23-000614	2			Tect I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	06-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000614	1			Tect I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	06-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001213900-23-046248	1		0001974828	ZenniHome CF LLC	Limited Liability Company		DE	17-APR-2023	4645 North 32nd Street, Suite A-255		Phoenix	AZ	85018	
0001875078-23-000002	1			CabinetM I	Limited Liability Company		DE	22-JUL-2021	4104 24th St.	PMB 8113	San Francisco	CA	94114	wefunder.com
0001875078-23-000001	1			CabinetM I	Limited Liability Company		DE	22-JUL-2021	4104 24th Street	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000608	1			EAMS Technology I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	02-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000608	2			EAMS Technology I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	02-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000605	1			Davenport SAF-T Systems I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	02-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000605	2			Davenport SAF-T Systems I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	02-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000610	1			Portrait Coffee I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	02-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000610	2			Portrait Coffee I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	02-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000612	1			SEANCE Film II, a series of Wefunder SPV, LLC	Limited Liability Company		DE	23-FEB-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000603	1			PaySoko Systems I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	02-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000603	2			PaySoko Systems I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	02-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000601	1			SuperMush I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	02-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001979883-23-000001	1			Goodegg Wealth Fund II, LLC	Limited Liability Company		WY	13-DEC-2022	18 BARTOL ST #1168		SAN FRANCISCO	CA	94133	http://goodegg.sppx.io
0001670254-23-000598	2			Sen-Jam Pharmaceutical II EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	01-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000598	1			Sen-Jam Pharmaceutical II, a series of Wefunder SPV, LLC	Limited Liability Company		DE	01-JUN-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001945032-23-000002	1			Aura Health CF Investors SPV, LLC	Limited Liability Company		DE	23-JAN-2023	720 Dolores Street		San Francisco	CA	94110	
0001670254-23-000596	1			Tally Kids I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-MAY-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000596	2			Tally Kids I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-MAY-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000593	2			Aquaria I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	26-MAY-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000593	1			Aquaria I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	26-MAY-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000591	2			Zeehaus I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	26-MAY-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000591	1			Zeehaus I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	26-MAY-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000588	1			Sunday Golf I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	26-MAY-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000588	2			Sunday Golf I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	26-MAY-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000586	1			Betterworld I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	25-MAY-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000586	2			Betterworld I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	25-MAY-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000582	1			Volcanic Retail I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	24-MAY-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000582	2			Volcanic Retail I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	24-MAY-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000579	2			BenchK12 I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	19-APR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000581	2			Snapify I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	03-APR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000579	1			BenchK12 I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	19-APR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000581	1			Snapify I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	03-APR-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001862194-23-000002	1			Dragon Spirits Marketing I	Limited Liability Company		DE	07-OCT-2021	4104 24th Street	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001976357-23-000002	1			Nimbus, Inc	Corporation		DE	09-OCT-2019	196 Stanton Street		New York	NY	10002	www.nimbuskitchen.com
0001670254-23-000572	2			Tally Kids I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-MAY-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000572	1			Tally Kids I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-MAY-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000565	1			Mate Fertility I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	18-MAY-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000563	1			Norbert Health I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	15-MAY-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001853669-23-000004	1			CurlMix I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	30-JUL-2021	4104 24th Street		San Francisco	CA	94114	wefunder.com
0001670254-23-000559	1			Areto Labs I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	16-MAY-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000557	1			Yaupon I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	15-MAY-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-23-000557	2			Yaupon I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	15-MAY-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001644600-23-000104	1			Ampere Technologies CF SPV, LLC	Limited Liability Company		DE	21-MAR-2023	8 THE GREEN SUITE A		Dover	DE	19901	
0001670254-23-000555	1			Curtiss I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	15-MAY-2023	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
