ACCESSION_NUMBER	ID	ISSUEJURISDICTIONSECUROFFERING
0001746059-23-000080	1	AL
0001746059-23-000080	52	WY
0001746059-23-000080	3	AZ
0001746059-23-000080	4	AR
0001746059-23-000080	5	CA
0001746059-23-000080	6	CO
0001746059-23-000080	7	CT
0001746059-23-000080	8	DE
0001746059-23-000080	9	DC
0001746059-23-000080	10	FL
0001746059-23-000080	11	GA
0001746059-23-000080	12	HI
0001746059-23-000080	13	ID
0001746059-23-000080	14	IL
0001746059-23-000080	15	IN
0001746059-23-000080	16	IA
0001746059-23-000080	17	KS
0001746059-23-000080	18	KY
0001746059-23-000080	19	LA
0001746059-23-000080	20	ME
0001746059-23-000080	21	MD
0001746059-23-000080	22	MA
0001746059-23-000080	23	MI
0001746059-23-000080	24	MN
0001746059-23-000080	25	MS
0001746059-23-000080	26	MO
0001746059-23-000080	27	MT
0001746059-23-000080	28	NE
0001746059-23-000080	29	NV
0001746059-23-000080	30	NH
0001746059-23-000080	31	NJ
0001746059-23-000080	32	NM
0001746059-23-000080	33	NY
0001746059-23-000080	34	NC
0001746059-23-000080	35	ND
0001746059-23-000080	36	OH
0001746059-23-000080	37	OK
0001746059-23-000080	38	OR
0001746059-23-000080	39	PA
0001746059-23-000080	40	PR
0001746059-23-000080	41	RI
0001746059-23-000080	42	SC
0001746059-23-000080	43	SD
0001746059-23-000080	44	TN
0001746059-23-000080	45	TX
0001746059-23-000080	46	UT
0001746059-23-000080	47	VT
0001746059-23-000080	48	VA
0001746059-23-000080	49	WA
0001746059-23-000080	50	WV
0001746059-23-000080	51	WI
0001746059-23-000080	2	AK
0001934804-23-000001	40	RI
0001934804-23-000001	39	PA
0001934804-23-000001	42	SD
0001934804-23-000001	43	TN
0001934804-23-000001	44	TX
0001934804-23-000001	45	UT
0001934804-23-000001	46	VT
0001934804-23-000001	47	VA
0001934804-23-000001	48	WA
0001934804-23-000001	49	WV
0001934804-23-000001	50	WI
0001934804-23-000001	51	WY
0001934804-23-000001	1	AL
0001934804-23-000001	2	AK
0001934804-23-000001	3	AZ
0001934804-23-000001	4	AR
0001934804-23-000001	5	CA
0001934804-23-000001	6	CO
0001934804-23-000001	7	CT
0001934804-23-000001	8	DE
0001934804-23-000001	9	DC
0001934804-23-000001	10	FL
0001934804-23-000001	11	GA
0001934804-23-000001	12	HI
0001934804-23-000001	13	ID
0001934804-23-000001	14	IL
0001934804-23-000001	15	IN
0001934804-23-000001	16	IA
0001934804-23-000001	17	KS
0001934804-23-000001	18	KY
0001934804-23-000001	19	LA
0001934804-23-000001	20	ME
0001934804-23-000001	21	MD
0001934804-23-000001	22	MA
0001934804-23-000001	23	MI
0001934804-23-000001	24	MN
0001934804-23-000001	25	MS
0001934804-23-000001	26	MO
0001934804-23-000001	27	MT
0001934804-23-000001	28	NE
0001934804-23-000001	29	NV
