ACCESSION_NUMBER	ID	ISSUEJURISDICTIONSECUROFFERING
0001665160-22-002571	1	AL
0001665160-22-002571	52	WY
0001665160-22-002571	3	AZ
0001665160-22-002571	4	AR
0001665160-22-002571	5	CA
0001665160-22-002571	6	CO
0001665160-22-002571	7	CT
0001665160-22-002571	8	DC
0001665160-22-002571	9	DE
0001665160-22-002571	10	FL
0001665160-22-002571	11	GA
0001665160-22-002571	12	HI
0001665160-22-002571	13	ID
0001665160-22-002571	14	IL
0001665160-22-002571	15	IN
0001665160-22-002571	16	IA
0001665160-22-002571	17	KS
0001665160-22-002571	18	KY
0001665160-22-002571	19	LA
0001665160-22-002571	20	ME
0001665160-22-002571	21	MD
0001665160-22-002571	22	MA
0001665160-22-002571	23	MI
0001665160-22-002571	24	MN
0001665160-22-002571	25	MS
0001665160-22-002571	26	MO
0001665160-22-002571	27	MT
0001665160-22-002571	28	NE
0001665160-22-002571	29	NV
0001665160-22-002571	30	NH
0001665160-22-002571	31	NJ
0001665160-22-002571	32	NM
0001665160-22-002571	33	NY
0001665160-22-002571	34	NC
0001665160-22-002571	35	ND
0001665160-22-002571	36	OH
0001665160-22-002571	37	OK
0001665160-22-002571	38	OR
0001665160-22-002571	39	PA
0001665160-22-002571	40	PR
0001665160-22-002571	41	RI
0001665160-22-002571	42	SC
0001665160-22-002571	43	SD
0001665160-22-002571	44	TN
0001665160-22-002571	45	TX
0001665160-22-002571	46	UT
0001665160-22-002571	47	VT
0001665160-22-002571	48	VA
0001665160-22-002571	49	WA
0001665160-22-002571	50	WV
0001665160-22-002571	51	WI
0001665160-22-002571	2	AK
0001665160-22-002570	33	NY
0001665160-22-002570	34	NC
0001665160-22-002570	35	ND
0001665160-22-002570	36	OH
0001665160-22-002570	37	OK
0001665160-22-002570	38	OR
0001665160-22-002570	39	PA
0001665160-22-002570	40	PR
0001665160-22-002570	41	RI
0001665160-22-002570	42	SC
0001665160-22-002570	43	SD
0001665160-22-002570	44	TN
0001665160-22-002570	45	TX
0001665160-22-002570	46	UT
0001665160-22-002570	47	VT
0001665160-22-002570	48	VA
0001665160-22-002570	49	WA
0001665160-22-002570	50	WV
0001665160-22-002570	51	WI
0001665160-22-002570	52	WY
0001665160-22-002570	1	AL
0001665160-22-002570	2	AK
0001665160-22-002570	3	AZ
0001665160-22-002570	4	AR
0001665160-22-002570	5	CA
0001665160-22-002570	6	CO
0001665160-22-002570	7	CT
0001665160-22-002570	8	DC
0001665160-22-002570	9	DE
0001665160-22-002570	10	FL
0001665160-22-002570	11	GA
0001665160-22-002570	12	HI
0001665160-22-002570	13	ID
0001665160-22-002570	14	IL
0001665160-22-002570	20	ME
0001665160-22-002570	21	MD
0001665160-22-002570	22	MA
0001665160-22-002570	23	MI
0001665160-22-002570	24	MN
0001665160-22-002570	25	MS
0001665160-22-002570	26	MO
0001665160-22-002570	15	IN
0001665160-22-002570	16	IA
0001665160-22-002570	17	KS
0001665160-22-002570	18	KY
0001665160-22-002570	19	LA
0001665160-22-002570	27	MT
0001665160-22-002570	28	NE
0001665160-22-002570	29	NV
0001665160-22-002570	30	NH
0001665160-22-002570	31	NJ
0001665160-22-002570	32	NM
0001669191-22-000933	1	AL
0001669191-22-000933	56	VI
