ACCESSION_NUMBER	ID	ISEDGARFILER	COISSUERCIK	NAMEOFCOISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	COISSUERWEBSITE
0001670254-22-001275	2			FemHealth Insights I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	19-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001275	1			FemHealth Insights I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	19-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001273	2			MTailor I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	29-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001273	1			MTailor I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	29-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001272	1			hobbydb II, a series of Wefunder SPV, LLC	Limited Liability Company		DE	16-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001266	1			Goal Five I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	15-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001269	2			Babe Kombucha I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	16-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001269	1			Babe Kombucha I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	16-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001264	2			Allerpops II EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	15-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001264	1			Allerpops II, a series of Wefunder SPV, LLC	Limited Liability Company		DE	15-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001644600-22-000144	1			AdoraPet Biosciences CF SPV LLC	Limited Liability Company		DE	10-NOV-2022	55 E 3rd Ave.		San Mateo	CA	94401	
0001670254-22-001260	1			Homeshake I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	30-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001260	2			Homeshake I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	30-SEP-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001258	1			DonorSee I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	13-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001258	2			DonorSee I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	13-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001254	1			Vikktoria I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	12-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001254	2			Vikktoria I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	12-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001252	2			Cognate Language Learning I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001252	1			Cognate Language Learning I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001250	1			Zencastr I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001245	1			Overplay I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	08-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001245	2			Overplay I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	08-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001243	1			Crowdsolve I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	08-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001243	2			Crowdsolve I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	08-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
