ACCESSION_NUMBER	ID	ISSUEJURISDICTIONSECUROFFERING
0001746059-20-000099	1	AL
0001746059-20-000099	25	MS
0001746059-20-000099	3	AZ
0001746059-20-000099	4	AR
0001746059-20-000099	5	CA
0001746059-20-000099	6	CO
0001746059-20-000099	7	CT
0001746059-20-000099	8	DE
0001746059-20-000099	9	DC
0001746059-20-000099	10	FL
0001746059-20-000099	11	GA
0001746059-20-000099	12	HI
0001746059-20-000099	13	ID
0001746059-20-000099	14	IL
0001746059-20-000099	15	IN
0001746059-20-000099	16	IA
0001746059-20-000099	17	KS
0001746059-20-000099	18	KY
0001746059-20-000099	26	MO
0001746059-20-000099	27	MT
0001746059-20-000099	28	NE
0001746059-20-000099	29	NV
0001746059-20-000099	30	NH
0001746059-20-000099	31	NJ
0001746059-20-000099	32	NM
0001746059-20-000099	33	NY
0001746059-20-000099	34	NC
0001746059-20-000099	35	ND
0001746059-20-000099	36	OH
0001746059-20-000099	37	OK
0001746059-20-000099	38	OR
0001746059-20-000099	39	PA
0001746059-20-000099	40	PR
0001746059-20-000099	41	RI
0001746059-20-000099	42	SC
0001746059-20-000099	43	SD
0001746059-20-000099	44	TN
0001746059-20-000099	45	TX
0001746059-20-000099	46	UT
0001746059-20-000099	47	VT
0001746059-20-000099	48	VA
0001746059-20-000099	49	WA
0001746059-20-000099	50	WV
0001746059-20-000099	51	WI
0001746059-20-000099	52	WY
0001746059-20-000099	19	LA
0001746059-20-000099	20	ME
0001746059-20-000099	21	MD
0001746059-20-000099	22	MA
0001746059-20-000099	23	MI
0001746059-20-000099	24	MN
0001746059-20-000099	2	AK
0001665160-20-000288	17	KS
0001665160-20-000288	16	IA
0001665160-20-000288	19	LA
0001665160-20-000288	20	ME
0001665160-20-000288	21	MD
0001665160-20-000288	22	MA
0001665160-20-000288	23	MI
0001665160-20-000288	24	MN
0001665160-20-000288	25	MS
0001665160-20-000288	26	MO
0001665160-20-000288	27	MT
0001665160-20-000288	28	NE
0001665160-20-000288	29	NV
0001665160-20-000288	30	NH
0001665160-20-000288	31	NJ
0001665160-20-000288	32	NM
0001665160-20-000288	33	NY
0001665160-20-000288	34	NC
0001665160-20-000288	35	ND
0001665160-20-000288	36	OH
0001665160-20-000288	37	OK
0001665160-20-000288	38	OR
0001665160-20-000288	39	PA
0001665160-20-000288	40	PR
0001665160-20-000288	41	RI
0001665160-20-000288	42	SC
0001665160-20-000288	43	SD
0001665160-20-000288	44	TN
0001665160-20-000288	45	TX
0001665160-20-000288	46	UT
0001665160-20-000288	47	VT
0001665160-20-000288	48	VA
0001665160-20-000288	49	WA
0001665160-20-000288	50	WV
0001665160-20-000288	51	WI
0001665160-20-000288	52	WY
0001665160-20-000288	1	AL
0001665160-20-000288	2	AK
0001665160-20-000288	3	AZ
0001665160-20-000288	4	AR
0001665160-20-000288	5	CA
0001665160-20-000288	6	CO
0001665160-20-000288	7	CT
0001665160-20-000288	8	DC
0001665160-20-000288	9	DE
0001665160-20-000288	10	FL
0001665160-20-000288	11	GA
0001665160-20-000288	12	HI
0001665160-20-000288	13	ID
0001665160-20-000288	14	IL
0001665160-20-000288	15	IN
0001665160-20-000288	18	KY
0001796828-20-000003	1	AL
0001796828-20-000003	28	NE
0001796828-20-000003	3	AZ
0001796828-20-000003	4	AR
0001796828-20-000003	5	CA
0001796828-20-000003	6	CO
0001796828-20-000003	7	CT
0001796828-20-000003	8	DE
0001796828-20-000003	9	DC
0001796828-20-000003	10	FL
0001796828-20-000003	11	GA
0001796828-20-000003	12	HI
0001796828-20-000003	13	ID
0001796828-20-000003	14	IL
0001796828-20-000003	15	IN
0001796828-20-000003	16	IA
0001796828-20-000003	17	KS
0001796828-20-000003	18	KY
0001796828-20-000003	29	NV
0001796828-20-000003	30	NH
0001796828-20-000003	31	NJ
0001796828-20-000003	32	NM
0001796828-20-000003	33	NY
0001796828-20-000003	34	NC
0001796828-20-000003	35	ND
0001796828-20-000003	36	OH
0001796828-20-000003	37	OK
0001796828-20-000003	38	OR
0001796828-20-000003	39	PA
0001796828-20-000003	40	PR
0001796828-20-000003	41	RI
0001796828-20-000003	42	SC
0001796828-20-000003	43	SD
0001796828-20-000003	44	TN
0001796828-20-000003	45	TX
0001796828-20-000003	46	UT
0001796828-20-000003	47	VT
0001796828-20-000003	48	VA
0001796828-20-000003	49	WA
0001796828-20-000003	50	WV
0001796828-20-000003	51	WI
0001796828-20-000003	52	WY
0001796828-20-000003	53	A0
0001796828-20-000003	54	A1
0001796828-20-000003	55	A2
0001796828-20-000003	56	A3
0001796828-20-000003	57	A4
0001796828-20-000003	58	A5
0001796828-20-000003	59	A6
0001796828-20-000003	60	A7
0001796828-20-000003	61	A8
0001796828-20-000003	62	A9
0001796828-20-000003	63	B0
0001796828-20-000003	64	Z4
0001796828-20-000003	19	LA
0001796828-20-000003	20	ME
0001796828-20-000003	21	MD
0001796828-20-000003	22	MA
0001796828-20-000003	23	MI
0001796828-20-000003	24	MN
0001796828-20-000003	25	MS
0001796828-20-000003	26	MO
0001796828-20-000003	27	MT
0001796828-20-000003	2	AK
0001807883-20-000001	3	AZ
0001807883-20-000001	2	AK
0001807883-20-000001	5	CA
0001807883-20-000001	6	CO
0001807883-20-000001	7	CT
0001807883-20-000001	8	DE
0001807883-20-000001	9	DC
0001807883-20-000001	10	FL
0001807883-20-000001	11	GA
0001807883-20-000001	12	HI
0001807883-20-000001	13	ID
0001807883-20-000001	14	IL
0001807883-20-000001	15	IN
0001807883-20-000001	16	IA
0001807883-20-000001	17	KS
0001807883-20-000001	18	KY
0001807883-20-000001	19	LA
0001807883-20-000001	20	ME
