ACCESSION_NUMBER	ID	ISEDGARFILER	COISSUERCIK	NAMEOFCOISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	COISSUERWEBSITE
0001893044-22-000004	1			Undesert Corporation Investments SPV LLC	Limited Liability Company		DE	02-DEC-2021	108 Lakeland Avenue		Dover	DE	19901	
0001670254-22-000702	2			Kountable I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	03-MAY-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000702	1			Kountable I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	03-MAY-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000700	1			Fourplay Social I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	29-JUN-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000698	1			Audea I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	29-JUN-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000695	1			Hld film inc I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-DEC-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000693	1			Gabar I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	24-JUN-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000691	2			Benjamin Capital Partners I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	24-JUN-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000691	1			Benjamin Capital Partners I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	24-JUN-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000689	1			Spook House Horror Film I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-JUN-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000686	1			Synthesis I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-JUN-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000683	2			BTP Automation I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-JUN-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-000681	2			TipBrightly I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-JUN-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
