ACCESSION_NUMBER	ID	ISEDGARFILER	COISSUERCIK	NAMEOFCOISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	COISSUERWEBSITE
0001670254-21-001101	1			Token Metrics I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	02-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001099	1			Nicolette I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	15-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001099	2			Nicolette I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	15-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001089	1			Parlay Cafe I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	29-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001089	2			Parlay Cafe I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	29-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001087	1			Mercury Technologies, Inc. I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	27-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001085	2			MotivateU I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	27-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001085	1			MotivateU I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	27-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001082	2			Yepp I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	23-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001082	1			Yepp I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	23-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001080	1			Virzoom I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001080	2			Virzoom I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001077	2			MobCraft Beer I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	20-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001077	1			MobCraft Beer I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	20-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001076	1			Wefunder I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	15-MAR-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001076	2			Wefunder I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	15-MAR-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001058	1			Prewrite I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	17-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001058	2			Prewrite I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	17-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001055	2			DropKey I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	17-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001064	1			Terraseed I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	17-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001064	2			Terraseed I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	17-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001061	2			Pocket Properties I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	17-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001061	1			Pocket Properties I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	17-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001055	1			DropKey I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	17-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001054	1			OurBanc Corporation I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	25-AUG-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001050	1			Palm Energy Systems I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	15-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001052	2			Team Topia I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001050	2			Palm Energy Systems I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	15-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001052	1			Team Topia I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	09-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001047	2			Nicolette I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	15-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001047	1			Nicolette I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	15-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001045	1			Urvin Finance I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	27-AUG-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001042	1			Token Metrics I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	02-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001039	2			NETZRO I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	02-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-001041	1			The Sniper Enterprise I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	15-SEP-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
