ACCESSION_NUMBER	ID	ISEDGARFILER	COISSUERCIK	NAMEOFCOISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	COISSUERWEBSITE
0001644600-21-000062	1			Exo-Space CF SPV, LLC	Limited Liability Company		DE	09-MAR-2021	484 E CALIFORNIA BLVD.		PASADENA	CA	91106	
0001670254-21-000725	1			BusinessOnBot I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	14-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000722	1			Ponto Footwear I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	14-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000727	2			Brane I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	14-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000727	1			Brane I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	14-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001644600-21-000061	1			Exo-Space CF SPV, LLC	Limited Liability Company		DE	09-MAR-2021	484 E CALIFORNIA BLVD.		PASADENA	CA	91106	
0001670254-21-000718	2			Arc I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	03-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000718	1			Arc I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	03-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000716	1			Kickit I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	03-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000716	2			Kickit I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	03-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001641389-21-000011	2			Wefunder I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	15-MAR-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000714	2			Accelerate3D I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	03-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000714	1			Accelerate3D I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	03-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001641389-21-000011	1			Wefunder I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	15-MAR-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000710	2			Todos Comemos I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	13-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000710	1			Todos Comemos I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	13-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000708	1			Mylance I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	18-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000706	1			The Farmer's Cow Calfe & Creamery I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000704	2			Mount I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	18-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000704	1			Mount I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	18-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000700	1			Frank App I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000700	2			Frank App I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000702	1			Dokkaebier I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000698	1			wOS I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000694	1			Looking For Group Nexus I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	18-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000694	2			Looking For Group Nexus I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	18-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000691	1			Rayyan Systems I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	07-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000689	2			Germs I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	13-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000689	1			Germs I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	13-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000686	2			Mainstem Malt I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	13-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000686	1			Mainstem Malt I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	13-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000684	1			Contractor Plus I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	13-MAY-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
